"ListTitle","Title","InternalName","TypeAsString","Required","ReadOnlyField","Hidden","DefaultValue","Choices"
"Riscos e Bloqueios","Nivel","_Level","Integer","False","True","True",,""
"Riscos e Bloqueios","es la versión actual","_IsCurrentVersion","Boolean","False","True","True",,""
"Riscos e Bloqueios","Número secundario de elemento","ItemChildCount","Lookup","False","True","False",,""
"Riscos e Bloqueios","Recuento secundario de carpetas","FolderChildCount","Lookup","False","True","False",,""
"Riscos e Bloqueios","Restringido","Restricted","Lookup","False","True","True",,""
"Riscos e Bloqueios","Identificador del originador","OriginatorId","Lookup","False","True","True",,""
"Riscos e Bloqueios","NoExecute","NoExecute","Lookup","False","True","True",,""
"Riscos e Bloqueios","Versión del contenido","ContentVersion","Lookup","False","True","True",,""
"Riscos e Bloqueios","Configuración de la etiqueta","_ComplianceFlags","Lookup","False","True","False",,""
"Riscos e Bloqueios","Etiqueta de retención","_ComplianceTag","Lookup","False","True","False",,""
"Riscos e Bloqueios","Etiqueta de retención aplicada","_ComplianceTagWrittenTime","Lookup","False","True","False",,""
"Riscos e Bloqueios","Usuario que ha aplicado la etiqueta:","_ComplianceTagUserId","Lookup","False","True","False",,""
"Riscos e Bloqueios","El elemento es un registro","_IsRecord","Computed","False","True","False",,""
"Riscos e Bloqueios","Directiva de acceso","AccessPolicy","Lookup","False","True","True",,""
"Riscos e Bloqueios","VirusStatus","_VirusStatus","Lookup","False","True","True",,""
"Riscos e Bloqueios","VirusVendorID","_VirusVendorID","Lookup","False","True","True",,""
"Riscos e Bloqueios","VirusInfo","_VirusInfo","Lookup","False","True","True",,""
"Riscos e Bloqueios","RansomwareAnomalyMetaInfo","_RansomwareAnomalyMetaInfo","Lookup","False","True","True",,""
"Riscos e Bloqueios","Id. de propietario del borrador","_DraftOwnerId","Lookup","False","True","True",,""
"Riscos e Bloqueios","Configuración del vínculo principal","MainLinkSettings","Computed","False","True","True",,""
"Riscos e Bloqueios","Aplicación creada por","AppAuthor","Lookup","False","True","False",,""
"Riscos e Bloqueios","Aplicación modificada por","AppEditor","Lookup","False","True","False",,""
"Riscos e Bloqueios","Tamaño total","SMTotalSize","Lookup","False","True","True",,""
"Riscos e Bloqueios","Última modificación","SMLastModifiedDate","Lookup","False","True","True",,""
"Riscos e Bloqueios","Tamaño total de las secuencias de archivo","SMTotalFileStreamSize","Lookup","False","True","True",,""
"Riscos e Bloqueios","Recuento total de archivos","SMTotalFileCount","Lookup","False","True","True",,""
"Riscos e Bloqueios","Configuración de los comentarios","_CommentFlags","Lookup","False","True","True",,""
"Riscos e Bloqueios","Recuento de comentarios","_CommentCount","Lookup","False","True","True",,""
