"ListTitle","Title","InternalName","TypeAsString","Required","ReadOnlyField","Hidden","DefaultValue","Choices"
"Tarefas","VirusInfo","_VirusInfo","Lookup","False","True","True",,""
"Tarefas","RansomwareAnomalyMetaInfo","_RansomwareAnomalyMetaInfo","Lookup","False","True","True",,""
"Tarefas","Id. de propietario del borrador","_DraftOwnerId","Lookup","False","True","True",,""
"Tarefas","Configuración del vínculo principal","MainLinkSettings","Computed","False","True","True",,""
"Tarefas","Aplicación creada por","AppAuthor","Lookup","False","True","False",,""
"Tarefas","Aplicación modificada por","AppEditor","Lookup","False","True","False",,""
"Tarefas","Tamaño total","SMTotalSize","Lookup","False","True","True",,""
"Tarefas","Última modificación","SMLastModifiedDate","Lookup","False","True","True",,""
"Tarefas","Tamaño total de las secuencias de archivo","SMTotalFileStreamSize","Lookup","False","True","True",,""
"Tarefas","Recuento total de archivos","SMTotalFileCount","Lookup","False","True","True",,""
"Tarefas","Configuración de los comentarios","_CommentFlags","Lookup","False","True","True",,""
"Tarefas","Recuento de comentarios","_CommentCount","Lookup","False","True","True",,""
