"ListTitle","Title","InternalName","TypeAsString","Required","ReadOnlyField","Hidden","DefaultValue","Choices"
"Decisoes do Board","Identificador del originador","OriginatorId","Lookup","False","True","True",,""
"Decisoes do Board","NoExecute","NoExecute","Lookup","False","True","True",,""
"Decisoes do Board","Versión del contenido","ContentVersion","Lookup","False","True","True",,""
"Decisoes do Board","Configuración de la etiqueta","_ComplianceFlags","Lookup","False","True","False",,""
"Decisoes do Board","Etiqueta de retención","_ComplianceTag","Lookup","False","True","False",,""
"Decisoes do Board","Etiqueta de retención aplicada","_ComplianceTagWrittenTime","Lookup","False","True","False",,""
"Decisoes do Board","Usuario que ha aplicado la etiqueta:","_ComplianceTagUserId","Lookup","False","True","False",,""
"Decisoes do Board","El elemento es un registro","_IsRecord","Computed","False","True","False",,""
"Decisoes do Board","Directiva de acceso","AccessPolicy","Lookup","False","True","True",,""
"Decisoes do Board","VirusStatus","_VirusStatus","Lookup","False","True","True",,""
"Decisoes do Board","VirusVendorID","_VirusVendorID","Lookup","False","True","True",,""
"Decisoes do Board","VirusInfo","_VirusInfo","Lookup","False","True","True",,""
"Decisoes do Board","RansomwareAnomalyMetaInfo","_RansomwareAnomalyMetaInfo","Lookup","False","True","True",,""
"Decisoes do Board","Id. de propietario del borrador","_DraftOwnerId","Lookup","False","True","True",,""
"Decisoes do Board","Configuración del vínculo principal","MainLinkSettings","Computed","False","True","True",,""
"Decisoes do Board","Aplicación creada por","AppAuthor","Lookup","False","True","False",,""
"Decisoes do Board","Aplicación modificada por","AppEditor","Lookup","False","True","False",,""
"Decisoes do Board","Tamaño total","SMTotalSize","Lookup","False","True","True",,""
"Decisoes do Board","Última modificación","SMLastModifiedDate","Lookup","False","True","True",,""
"Decisoes do Board","Tamaño total de las secuencias de archivo","SMTotalFileStreamSize","Lookup","False","True","True",,""
"Decisoes do Board","Recuento total de archivos","SMTotalFileCount","Lookup","False","True","True",,""
"Decisoes do Board","Configuración de los comentarios","_CommentFlags","Lookup","False","True","True",,""
"Decisoes do Board","Recuento de comentarios","_CommentCount","Lookup","False","True","True",,""
