"SiteUrl","Title","Id","ItemCount","Hidden","BaseTemplate","RootFolder","FieldCount","ViewCount","OutputPath"
"https://indra365.sharepoint.com/sites/Grp_T_DN_Transformacao_Digital","Projetos","0271c9e8-c184-4b91-99f9-5b71f9b08826","33","False","100","/sites/Grp_T_DN_Transformacao_Digital/Lists/Projetos","111","6",".planning\comms\sharepoint_schema_xml_20260513\Projetos"
"https://indra365.sharepoint.com/sites/Grp_T_DN_Transformacao_Digital","Tarefas","36d78ca1-1f60-4dd3-a4d5-5c94b89969e9","12","False","100","/sites/Grp_T_DN_Transformacao_Digital/Lists/Tarefas","97","4",".planning\comms\sharepoint_schema_xml_20260513\Tarefas"
"https://indra365.sharepoint.com/sites/Grp_T_DN_Transformacao_Digital","Status Diario","96984b1e-d983-4a50-bd5a-2f921402acac","4","False","100","/sites/Grp_T_DN_Transformacao_Digital/Lists/Status Diario","102","2",".planning\comms\sharepoint_schema_xml_20260513\Status_Diario"
"https://indra365.sharepoint.com/sites/Grp_T_DN_Transformacao_Digital","Riscos e Bloqueios","7c8fde07-7ad4-4220-892a-2fafa33cea48","7","False","100","/sites/Grp_T_DN_Transformacao_Digital/Lists/Riscos e Bloqueios","102","2",".planning\comms\sharepoint_schema_xml_20260513\Riscos_e_Bloqueios"
"https://indra365.sharepoint.com/sites/Grp_T_DN_Transformacao_Digital","Decisoes do Board","7177464d-2a9a-415c-bb19-a98bc53d6fa6","4","False","100","/sites/Grp_T_DN_Transformacao_Digital/Lists/Decisoes do Board","103","2",".planning\comms\sharepoint_schema_xml_20260513\Decisoes_do_Board"
